datetime,flow,temperature
2017-01-01 00:00:00,7.19,98.64
2017-01-01 01:00:00,7.39,98.4
2017-01-01 02:00:00,7.49,98.52
2017-01-01 03:00:00,7.29,98.06
2017-01-01 04:00:00,7.95,98.61
2017-01-01 05:00:00,7.96,100.51
2017-01-01 06:00:00,7.85,102.51
2017-01-01 07:00:00,7.96,103.73
2017-01-01 08:00:00,8.55,104.37
2017-01-01 09:00:00,8.56,104.01
2017-01-01 10:00:00,7.39,104.6
2017-01-01 11:00:00,6.13,102.94
2017-01-01 12:00:00,6.88,101.27
2017-01-01 13:00:00,5.84,101.62
2017-01-01 14:00:00,6.42,101.27
2017-01-01 15:00:00,6.81,100.3
2017-01-01 16:00:00,7.0,100.32
2017-01-01 17:00:00,7.39,101.57
2017-01-01 18:00:00,7.19,100.97
2017-01-01 19:00:00,7.67,101.59
2017-01-01 20:00:00,7.39,101.91
2017-01-01 21:00:00,7.67,102.13
2017-01-01 22:00:00,7.29,102.46
2017-01-01 23:00:00,8.45,102.94
